decision_id,workflow_id,ts,decision_type,actor_type,actor_name,actor_version,objective,input_facts,evidence_refs,evidence_freshness_days,groundedness_score,options_evaluated,selected_action,selection_basis,confidence,policy_evaluations,authority,tool_action,business_outcome,owner,risk_tier
DEC-20260601-9e7445,9e744539-3cea-4696-be6c-5948069db9cd,2026-06-01T09:28:01+00:00,high_risk_tool_invocation,agent,retail-support-agent,2.4.1,execute_account_mutation,"{""order_value"": 478.82, ""customer_tier"": ""loyalty_gold"", ""claim_age_days"": 8, ""channel"": ""web_chat""}","[""returns_policy_kb"", ""returns_policy_kb:7074""]",22,0.715,"[""proceed_with_action"", ""request_human_approval"", ""decline_action""]",request_human_approval,"[""high_risk_write_action"", ""approval_policy_requires_review""]",0.68,"[{""policy_id"": ""HIGH-RISK-ACTION-APPROVAL"", ""version"": ""1.0"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""human-review-445""}","{""tool"": ""address_update"", ""result"": ""success""}","{""outcome"": ""escalated_human"", ""amount"": null}",Cyber Security + Product Owner,medium
DEC-20260601-af7d09,af7d0970-07e6-4b44-89ff-5255b6398f53,2026-06-01T23:22:40+00:00,high_risk_tool_invocation,agent,retail-support-agent,2.4.1,execute_account_mutation,"{""order_value"": 408.78, ""customer_tier"": ""loyalty_silver"", ""claim_age_days"": 17, ""channel"": ""web_chat""}","[""returns_policy_kb"", ""returns_policy_kb:9451""]",33,0.571,"[""proceed_with_action"", ""request_human_approval"", ""decline_action""]",proceed_with_action,"[""identity_verified"", ""action_within_agent_authority"", ""groundedness=0.571""]",0.54,"[{""policy_id"": ""HIGH-RISK-ACTION-APPROVAL"", ""version"": ""1.0"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-67""}","{""tool"": ""address_update"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": null}",Cyber Security + Product Owner,medium
DEC-20260601-c3ea9f,c3ea9f89-a0b7-44fa-a105-03064a1b83d0,2026-06-01T12:13:04+00:00,refund_eligibility,agent,retail-support-agent,2.4.1,approve_customer_refund,"{""order_value"": 244.07, ""customer_tier"": ""loyalty_gold"", ""claim_age_days"": 12, ""channel"": ""web_chat""}","[""faq_kb"", ""faq_kb:3485""]",28,0.909,"[""reject_refund"", ""approve_standard_refund"", ""escalate_for_manual_review""]",approve_standard_refund,"[""damaged_item_confirmed"", ""claim_within_30_day_window=True"", ""order_value_below_auto_limit=True""]",0.92,"[{""policy_id"": ""RETURNS-AUTO-APPROVAL-04"", ""version"": ""7.2"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-83""}","{""tool"": ""refund_issue"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": 244.07}",Product Owner + Responsible AI/Risk,medium
DEC-20260601-90450e,90450e07-3d58-490e-9b5d-e19bd556c470,2026-06-01T13:30:44+00:00,high_risk_tool_invocation,agent,retail-support-agent,2.4.1,execute_account_mutation,"{""order_value"": 178.48, ""customer_tier"": ""loyalty_gold"", ""claim_age_days"": 19, ""channel"": ""mobile_app""}","[""returns_policy_kb"", ""returns_policy_kb:4681""]",44,0.823,"[""proceed_with_action"", ""request_human_approval"", ""decline_action""]",proceed_with_action,"[""identity_verified"", ""action_within_agent_authority"", ""groundedness=0.823""]",0.81,"[{""policy_id"": ""HIGH-RISK-ACTION-APPROVAL"", ""version"": ""1.0"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-55""}","{""tool"": ""address_update"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": null}",Cyber Security + Product Owner,medium
DEC-20260601-528fae,528fae24-2e9a-4eef-b349-93531a1025a7,2026-06-01T13:51:59+00:00,refund_eligibility,agent,retail-support-agent,2.4.1,approve_customer_refund,"{""order_value"": 428.31, ""customer_tier"": ""loyalty_gold"", ""claim_age_days"": 37, ""channel"": ""web_chat""}","[""returns_policy_kb"", ""returns_policy_kb:5796""]",45,0.672,"[""reject_refund"", ""approve_standard_refund"", ""escalate_for_manual_review""]",approve_standard_refund,"[""damaged_item_confirmed"", ""claim_within_30_day_window=False"", ""order_value_below_auto_limit=False""]",0.66,"[{""policy_id"": ""RETURNS-AUTO-APPROVAL-04"", ""version"": ""7.2"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-94""}","{""tool"": ""refund_issue"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": 428.31}",Product Owner + Responsible AI/Risk,medium
DEC-20260601-0bb50b,0bb50b2a-0241-4de5-9d88-c834f922a943,2026-06-01T09:54:32+00:00,high_risk_tool_invocation,agent,retail-support-agent,2.4.1,execute_account_mutation,"{""order_value"": 277.97, ""customer_tier"": ""standard"", ""claim_age_days"": 17, ""channel"": ""ivr_handoff""}","[""order_history_index"", ""order_history_index:3251""]",39,0.91,"[""proceed_with_action"", ""request_human_approval"", ""decline_action""]",proceed_with_action,"[""identity_verified"", ""action_within_agent_authority"", ""groundedness=0.91""]",0.91,"[{""policy_id"": ""HIGH-RISK-ACTION-APPROVAL"", ""version"": ""1.0"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-18""}","{""tool"": ""address_update"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": null}",Cyber Security + Product Owner,medium
DEC-20260601-7df510,7df510d5-a50a-4744-a4d9-39c0f77951f9,2026-06-01T15:54:31+00:00,high_risk_tool_invocation,agent,retail-support-agent,2.4.1,execute_account_mutation,"{""order_value"": 139.47, ""customer_tier"": ""loyalty_gold"", ""claim_age_days"": 13, ""channel"": ""web_chat""}","[""returns_policy_kb"", ""returns_policy_kb:7520""]",24,0.921,"[""proceed_with_action"", ""request_human_approval"", ""decline_action""]",proceed_with_action,"[""identity_verified"", ""action_within_agent_authority"", ""groundedness=0.921""]",0.92,"[{""policy_id"": ""HIGH-RISK-ACTION-APPROVAL"", ""version"": ""1.0"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-52""}","{""tool"": ""loyalty_credit"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": null}",Cyber Security + Product Owner,medium
DEC-20260601-4e67ec,4e67ec14-89cd-4e16-af7c-6650ba951781,2026-06-01T18:23:06+00:00,escalation_vs_autoresolve,agent,retail-support-agent,2.4.1,resolve_or_escalate,"{""order_value"": 322.67, ""customer_tier"": ""loyalty_gold"", ""claim_age_days"": 32, ""channel"": ""mobile_app""}","[""order_history_index"", ""order_history_index:4591""]",6,0.587,"[""auto_resolve"", ""escalate_for_manual_review""]",escalate_for_manual_review,"[""confidence_below_autoresolve_threshold"", ""routed_to_human_queue""]",0.58,"[{""policy_id"": ""ESCALATION-ROUTING-02"", ""version"": ""3.0"", ""result"": ""pass""}]","{""approval_required"": false, ""approval_status"": ""not_required"", ""approver_id"": ""human-review-237""}","{""tool"": """", ""result"": ""n/a""}","{""outcome"": ""escalated_human"", ""amount"": null}",Product Owner,medium
DEC-20260601-aea546,aea546d6-f616-41f0-84c0-bac88d518680,2026-06-01T16:39:13+00:00,high_risk_tool_invocation,agent,retail-support-agent,2.4.1,execute_account_mutation,"{""order_value"": 186.81, ""customer_tier"": ""standard"", ""claim_age_days"": 15, ""channel"": ""mobile_app""}","[""order_history_index"", ""order_history_index:1824""]",17,0.782,"[""proceed_with_action"", ""request_human_approval"", ""decline_action""]",proceed_with_action,"[""identity_verified"", ""action_within_agent_authority"", ""groundedness=0.782""]",0.8,"[{""policy_id"": ""HIGH-RISK-ACTION-APPROVAL"", ""version"": ""1.0"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-34""}","{""tool"": ""address_update"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": null}",Cyber Security + Product Owner,medium
DEC-20260601-7da67a,7da67ae4-2e13-43e8-82b2-a48a9e1b9929,2026-06-01T01:23:36+00:00,high_risk_tool_invocation,agent,retail-support-agent,2.4.1,execute_account_mutation,"{""order_value"": 476.7, ""customer_tier"": ""loyalty_gold"", ""claim_age_days"": 23, ""channel"": ""ivr_handoff""}","[""faq_kb"", ""faq_kb:3731""]",10,0.617,"[""proceed_with_action"", ""request_human_approval"", ""decline_action""]",proceed_with_action,"[""identity_verified"", ""action_within_agent_authority"", ""groundedness=0.617""]",0.61,"[{""policy_id"": ""HIGH-RISK-ACTION-APPROVAL"", ""version"": ""1.0"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-67""}","{""tool"": ""address_update"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": null}",Cyber Security + Product Owner,medium
DEC-20260601-c41875,c418758d-0542-4a26-8842-1cc802fb83cf,2026-06-01T00:08:19+00:00,high_risk_tool_invocation,agent,retail-support-agent,2.4.1,execute_account_mutation,"{""order_value"": 404.05, ""customer_tier"": ""loyalty_gold"", ""claim_age_days"": 2, ""channel"": ""ivr_handoff""}","[""faq_kb"", ""faq_kb:3311""]",13,0.808,"[""proceed_with_action"", ""request_human_approval"", ""decline_action""]",proceed_with_action,"[""identity_verified"", ""action_within_agent_authority"", ""groundedness=0.808""]",0.77,"[{""policy_id"": ""HIGH-RISK-ACTION-APPROVAL"", ""version"": ""1.0"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-12""}","{""tool"": ""loyalty_credit"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": null}",Cyber Security + Product Owner,medium
DEC-20260601-29fa26,29fa26e2-df33-4dc9-b9e1-2bf32a185325,2026-06-01T09:51:25+00:00,refund_eligibility,agent,retail-support-agent,2.4.1,approve_customer_refund,"{""order_value"": 62.74, ""customer_tier"": ""loyalty_gold"", ""claim_age_days"": 40, ""channel"": ""mobile_app""}","[""order_history_index"", ""order_history_index:4666""]",34,0.64,"[""reject_refund"", ""approve_standard_refund"", ""escalate_for_manual_review""]",approve_standard_refund,"[""damaged_item_confirmed"", ""claim_within_30_day_window=False"", ""order_value_below_auto_limit=True""]",0.64,"[{""policy_id"": ""RETURNS-AUTO-APPROVAL-04"", ""version"": ""7.2"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-13""}","{""tool"": ""refund_issue"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": 62.74}",Product Owner + Responsible AI/Risk,medium
DEC-20260601-54c681,54c681b3-145b-4458-9614-748acd390d6e,2026-06-01T05:56:57+00:00,high_risk_tool_invocation,agent,retail-support-agent,2.4.1,execute_account_mutation,"{""order_value"": 309.16, ""customer_tier"": ""loyalty_silver"", ""claim_age_days"": 15, ""channel"": ""web_chat""}","[""returns_policy_kb"", ""returns_policy_kb:1244""]",23,0.701,"[""proceed_with_action"", ""request_human_approval"", ""decline_action""]",proceed_with_action,"[""identity_verified"", ""action_within_agent_authority"", ""groundedness=0.701""]",0.7,"[{""policy_id"": ""HIGH-RISK-ACTION-APPROVAL"", ""version"": ""1.0"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-96""}","{""tool"": ""loyalty_credit"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": null}",Cyber Security + Product Owner,high
DEC-20260601-279242,27924288-c074-4d7a-97e2-b4f524d532bd,2026-06-01T11:32:18+00:00,refund_eligibility,agent,retail-support-agent,2.4.1,approve_customer_refund,"{""order_value"": 358.01, ""customer_tier"": ""loyalty_silver"", ""claim_age_days"": 30, ""channel"": ""mobile_app""}","[""faq_kb"", ""faq_kb:9347""]",42,0.939,"[""reject_refund"", ""approve_standard_refund"", ""escalate_for_manual_review""]",escalate_for_manual_review,"[""order_value_above_auto_limit=True"", ""requires_human_judgement""]",0.91,"[{""policy_id"": ""RETURNS-AUTO-APPROVAL-04"", ""version"": ""7.2"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""human-review-225""}","{""tool"": ""refund_issue"", ""result"": ""success""}","{""outcome"": ""escalated_human"", ""amount"": null}",Product Owner + Responsible AI/Risk,medium
DEC-20260601-a4bd65,a4bd65fb-7cba-4ca5-b54a-efb7db46a978,2026-06-01T04:58:38+00:00,high_risk_tool_invocation,agent,retail-support-agent,2.4.1,execute_account_mutation,"{""order_value"": 334.83, ""customer_tier"": ""loyalty_gold"", ""claim_age_days"": 30, ""channel"": ""web_chat""}","[""faq_kb"", ""faq_kb:5025""]",13,0.672,"[""proceed_with_action"", ""request_human_approval"", ""decline_action""]",proceed_with_action,"[""identity_verified"", ""action_within_agent_authority"", ""groundedness=0.672""]",0.68,"[{""policy_id"": ""HIGH-RISK-ACTION-APPROVAL"", ""version"": ""1.0"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-57""}","{""tool"": ""loyalty_credit"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": null}",Cyber Security + Product Owner,high
DEC-20260601-c4ee7e,c4ee7e8c-710c-4777-93d7-73e826f501bf,2026-06-01T14:41:49+00:00,high_risk_tool_invocation,agent,retail-support-agent,2.4.1,execute_account_mutation,"{""order_value"": 357.71, ""customer_tier"": ""standard"", ""claim_age_days"": 9, ""channel"": ""mobile_app""}","[""order_history_index"", ""order_history_index:7613""]",20,0.557,"[""proceed_with_action"", ""request_human_approval"", ""decline_action""]",proceed_with_action,"[""identity_verified"", ""action_within_agent_authority"", ""groundedness=0.557""]",0.54,"[{""policy_id"": ""HIGH-RISK-ACTION-APPROVAL"", ""version"": ""1.0"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-55""}","{""tool"": ""address_update"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": null}",Cyber Security + Product Owner,medium
DEC-20260601-993e92,993e92e3-c3cc-4279-93bd-af159bee4d55,2026-06-01T23:18:34+00:00,high_risk_tool_invocation,agent,retail-support-agent,2.4.1,execute_account_mutation,"{""order_value"": 193.95, ""customer_tier"": ""standard"", ""claim_age_days"": 17, ""channel"": ""web_chat""}","[""order_history_index"", ""order_history_index:9104""]",6,0.693,"[""proceed_with_action"", ""request_human_approval"", ""decline_action""]",proceed_with_action,"[""identity_verified"", ""action_within_agent_authority"", ""groundedness=0.693""]",0.68,"[{""policy_id"": ""HIGH-RISK-ACTION-APPROVAL"", ""version"": ""1.0"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-38""}","{""tool"": ""address_update"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": null}",Cyber Security + Product Owner,medium
DEC-20260601-a9b1b1,a9b1b16c-e47b-4f9d-a2c5-5b48f22c3f54,2026-06-01T22:35:29+00:00,refund_eligibility,agent,retail-support-agent,2.4.1,approve_customer_refund,"{""order_value"": 276.97, ""customer_tier"": ""standard"", ""claim_age_days"": 25, ""channel"": ""mobile_app""}","[""faq_kb"", ""faq_kb:6502""]",15,0.749,"[""reject_refund"", ""approve_standard_refund"", ""escalate_for_manual_review""]",approve_standard_refund,"[""damaged_item_confirmed"", ""claim_within_30_day_window=True"", ""order_value_below_auto_limit=True""]",0.71,"[{""policy_id"": ""RETURNS-AUTO-APPROVAL-04"", ""version"": ""7.2"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-70""}","{""tool"": ""refund_issue"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": 276.97}",Product Owner + Responsible AI/Risk,medium
DEC-20260601-06fa38,06fa3876-de64-434f-a232-d596919601e4,2026-06-01T04:41:14+00:00,high_risk_tool_invocation,agent,retail-support-agent,2.4.1,execute_account_mutation,"{""order_value"": 182.81, ""customer_tier"": ""standard"", ""claim_age_days"": 10, ""channel"": ""mobile_app""}","[""faq_kb"", ""faq_kb:7013""]",39,0.662,"[""proceed_with_action"", ""request_human_approval"", ""decline_action""]",proceed_with_action,"[""identity_verified"", ""action_within_agent_authority"", ""groundedness=0.662""]",0.67,"[{""policy_id"": ""HIGH-RISK-ACTION-APPROVAL"", ""version"": ""1.0"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-41""}","{""tool"": ""address_update"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": null}",Cyber Security + Product Owner,medium
DEC-20260601-4357a6,4357a6e0-9718-4470-bdfa-bc6872c9c44c,2026-06-01T09:22:45+00:00,high_risk_tool_invocation,agent,retail-support-agent,2.4.1,execute_account_mutation,"{""order_value"": 182.79, ""customer_tier"": ""loyalty_gold"", ""claim_age_days"": 7, ""channel"": ""web_chat""}","[""order_history_index"", ""order_history_index:7992""]",41,0.698,"[""proceed_with_action"", ""request_human_approval"", ""decline_action""]",proceed_with_action,"[""identity_verified"", ""action_within_agent_authority"", ""groundedness=0.698""]",0.7,"[{""policy_id"": ""HIGH-RISK-ACTION-APPROVAL"", ""version"": ""1.0"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-77""}","{""tool"": ""address_update"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": null}",Cyber Security + Product Owner,medium
DEC-20260601-038dcc,038dcc5b-3d36-436d-9e64-e1d14d94f489,2026-06-01T09:36:32+00:00,high_risk_tool_invocation,agent,retail-support-agent,2.4.1,execute_account_mutation,"{""order_value"": 346.91, ""customer_tier"": ""standard"", ""claim_age_days"": 16, ""channel"": ""mobile_app""}","[""returns_policy_kb"", ""returns_policy_kb:4183""]",42,0.605,"[""proceed_with_action"", ""request_human_approval"", ""decline_action""]",proceed_with_action,"[""identity_verified"", ""action_within_agent_authority"", ""groundedness=0.605""]",0.58,"[{""policy_id"": ""HIGH-RISK-ACTION-APPROVAL"", ""version"": ""1.0"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-75""}","{""tool"": ""loyalty_credit"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": null}",Cyber Security + Product Owner,medium
DEC-20260601-8a73ec,8a73ecdd-9fd9-462c-94fa-159419a7486b,2026-06-01T20:10:46+00:00,high_risk_tool_invocation,agent,retail-support-agent,2.4.1,execute_account_mutation,"{""order_value"": 405.79, ""customer_tier"": ""loyalty_gold"", ""claim_age_days"": 7, ""channel"": ""web_chat""}","[""faq_kb"", ""faq_kb:8767""]",35,0.621,"[""proceed_with_action"", ""request_human_approval"", ""decline_action""]",proceed_with_action,"[""identity_verified"", ""action_within_agent_authority"", ""groundedness=0.621""]",0.63,"[{""policy_id"": ""HIGH-RISK-ACTION-APPROVAL"", ""version"": ""1.0"", ""result"": ""pass""}]","{""approval_required"": true, ""approval_status"": ""approved"", ""approver_id"": ""ops-approver-75""}","{""tool"": ""loyalty_credit"", ""result"": ""success""}","{""outcome"": ""resolved"", ""amount"": null}",Cyber Security + Product Owner,medium
