workflow_id,ts,policy_name,policy_version,evaluator,score,threshold,allow_block_escalate,reason_code,reviewer_id
05abf7e5-f3f0-4d44-a02a-86e95650ec17,2026-06-01T20:21:23+00:00,input_prompt_injection_scan,3.1,injection_classifier_v3,0.121,0.75,allow,,
05abf7e5-f3f0-4d44-a02a-86e95650ec17,2026-06-01T20:21:23+00:00,output_pii_egress_scan,2.2,dlp_scanner_v2,0.181,0.8,allow,,
05abf7e5-f3f0-4d44-a02a-86e95650ec17,2026-06-01T20:21:23+00:00,output_toxicity_check,1.5,toxicity_classifier_v1,0.011,0.6,allow,,
9e744539-3cea-4696-be6c-5948069db9cd,2026-06-01T09:28:01+00:00,input_prompt_injection_scan,3.1,injection_classifier_v3,0.097,0.75,allow,,
9e744539-3cea-4696-be6c-5948069db9cd,2026-06-01T09:28:01+00:00,output_pii_egress_scan,2.2,dlp_scanner_v2,0.159,0.8,allow,,
9e744539-3cea-4696-be6c-5948069db9cd,2026-06-01T09:28:01+00:00,output_toxicity_check,1.5,toxicity_classifier_v1,0.077,0.6,allow,,
af7d0970-07e6-4b44-89ff-5255b6398f53,2026-06-01T23:22:40+00:00,input_prompt_injection_scan,3.1,injection_classifier_v3,0.09,0.75,allow,,
af7d0970-07e6-4b44-89ff-5255b6398f53,2026-06-01T23:22:40+00:00,output_pii_egress_scan,2.2,dlp_scanner_v2,0.005,0.8,allow,,
af7d0970-07e6-4b44-89ff-5255b6398f53,2026-06-01T23:22:40+00:00,output_toxicity_check,1.5,toxicity_classifier_v1,0.0,0.6,allow,,
c3ea9f89-a0b7-44fa-a105-03064a1b83d0,2026-06-01T12:13:04+00:00,input_prompt_injection_scan,3.1,injection_classifier_v3,0.088,0.75,allow,,
c3ea9f89-a0b7-44fa-a105-03064a1b83d0,2026-06-01T12:13:04+00:00,output_pii_egress_scan,2.2,dlp_scanner_v2,0.171,0.8,allow,,
c3ea9f89-a0b7-44fa-a105-03064a1b83d0,2026-06-01T12:13:04+00:00,output_toxicity_check,1.5,toxicity_classifier_v1,0.051,0.6,allow,,
