workflow_id,ts,tool_name,tool_version,action_type,read_or_write,risk_class,approval_required,approval_status,latency_ms,status,error_type,cost_usd
05abf7e5-f3f0-4d44-a02a-86e95650ec17,2026-06-01T20:21:23+00:00,order_lookup,1.3.0,read,read,low,False,n/a,243,success,,0.00169
9e744539-3cea-4696-be6c-5948069db9cd,2026-06-01T09:28:01+00:00,address_update,1.0.2,write,write,high,True,approved,204,success,,0.03759
af7d0970-07e6-4b44-89ff-5255b6398f53,2026-06-01T23:22:40+00:00,address_update,1.0.2,write,write,high,True,approved,376,success,,0.03573
c3ea9f89-a0b7-44fa-a105-03064a1b83d0,2026-06-01T12:13:04+00:00,refund_issue,2.0.0,write,write,high,True,approved,384,success,,0.03761
c3ea9f89-a0b7-44fa-a105-03064a1b83d0,2026-06-01T12:13:04+00:00,shipping_status,1.1.0,read,read,low,False,n/a,655,success,,0.00159
c3ea9f89-a0b7-44fa-a105-03064a1b83d0,2026-06-01T12:13:04+00:00,order_lookup,1.3.0,read,read,low,False,n/a,412,success,,0.00161
90450e07-3d58-490e-9b5d-e19bd556c470,2026-06-01T13:30:44+00:00,order_lookup,1.3.0,read,read,low,False,n/a,394,success,,0.0017
90450e07-3d58-490e-9b5d-e19bd556c470,2026-06-01T13:30:44+00:00,address_update,1.0.2,write,write,high,True,approved,288,success,,0.03547
528fae24-2e9a-4eef-b349-93531a1025a7,2026-06-01T13:51:59+00:00,refund_issue,2.0.0,write,write,high,True,approved,246,success,,0.03267
0bb50b2a-0241-4de5-9d88-c834f922a943,2026-06-01T09:54:32+00:00,address_update,1.0.2,write,write,high,True,approved,230,success,,0.03044
7df510d5-a50a-4744-a4d9-39c0f77951f9,2026-06-01T15:54:31+00:00,loyalty_credit,1.4.0,write,write,medium,True,approved,179,success,,0.01253
4e67ec14-89cd-4e16-af7c-6650ba951781,2026-06-01T18:23:06+00:00,order_lookup,1.3.0,read,read,low,False,n/a,385,success,,0.00169
4e67ec14-89cd-4e16-af7c-6650ba951781,2026-06-01T18:23:06+00:00,order_lookup,1.3.0,read,read,low,False,n/a,279,success,,0.00139
aea546d6-f616-41f0-84c0-bac88d518680,2026-06-01T16:39:13+00:00,address_update,1.0.2,write,write,high,True,approved,351,success,,0.03559
aea546d6-f616-41f0-84c0-bac88d518680,2026-06-01T16:39:13+00:00,shipping_status,1.1.0,read,read,low,False,n/a,311,success,,0.00138
7da67ae4-2e13-43e8-82b2-a48a9e1b9929,2026-06-01T01:23:36+00:00,address_update,1.0.2,write,write,high,True,approved,307,success,,0.03471
c418758d-0542-4a26-8842-1cc802fb83cf,2026-06-01T00:08:19+00:00,shipping_status,1.1.0,read,read,low,False,n/a,329,success,,0.00145
c418758d-0542-4a26-8842-1cc802fb83cf,2026-06-01T00:08:19+00:00,loyalty_credit,1.4.0,write,write,medium,True,approved,80,success,,0.01269
29fa26e2-df33-4dc9-b9e1-2bf32a185325,2026-06-01T09:51:25+00:00,refund_issue,2.0.0,write,write,high,True,approved,372,success,,0.03818
27c1b538-d8b2-41df-893b-d80f0ed373d7,2026-06-01T01:05:25+00:00,order_lookup,1.3.0,read,read,low,False,n/a,418,success,,0.00128
54c681b3-145b-4458-9614-748acd390d6e,2026-06-01T05:56:57+00:00,loyalty_credit,1.4.0,write,write,medium,True,approved,373,success,,0.01202
54c681b3-145b-4458-9614-748acd390d6e,2026-06-01T05:56:57+00:00,loyalty_credit,1.4.0,write,write,medium,True,approved,394,success,,0.01291
54c681b3-145b-4458-9614-748acd390d6e,2026-06-01T05:56:57+00:00,refund_issue,2.0.0,write,write,high,True,approved,370,success,,0.03685
27924288-c074-4d7a-97e2-b4f524d532bd,2026-06-01T11:32:18+00:00,shipping_status,1.1.0,read,read,low,False,n/a,455,success,,0.00164
27924288-c074-4d7a-97e2-b4f524d532bd,2026-06-01T11:32:18+00:00,refund_issue,2.0.0,write,write,high,True,approved,296,success,,0.03267
a4bd65fb-7cba-4ca5-b54a-efb7db46a978,2026-06-01T04:58:38+00:00,loyalty_credit,1.4.0,write,write,medium,True,approved,309,success,,0.01115
c4ee7e8c-710c-4777-93d7-73e826f501bf,2026-06-01T14:41:49+00:00,order_lookup,1.3.0,read,read,low,False,n/a,459,success,,0.00128
c4ee7e8c-710c-4777-93d7-73e826f501bf,2026-06-01T14:41:49+00:00,address_update,1.0.2,write,write,high,True,approved,535,success,,0.03552
993e92e3-c3cc-4279-93bd-af159bee4d55,2026-06-01T23:18:34+00:00,address_update,1.0.2,write,write,high,True,approved,80,success,,0.03154
a9b1b16c-e47b-4f9d-a2c5-5b48f22c3f54,2026-06-01T22:35:29+00:00,shipping_status,1.1.0,read,read,low,False,n/a,279,success,,0.00153
a9b1b16c-e47b-4f9d-a2c5-5b48f22c3f54,2026-06-01T22:35:29+00:00,refund_issue,2.0.0,write,write,high,True,approved,384,success,,0.04006
a9b1b16c-e47b-4f9d-a2c5-5b48f22c3f54,2026-06-01T22:35:29+00:00,address_update,1.0.2,write,write,high,True,approved,412,success,,0.03745
fbd1a24d-9f33-47fd-96c0-116ee790d6c9,2026-06-01T16:35:48+00:00,order_lookup,1.3.0,read,read,low,False,n/a,456,success,,0.00152
fbd1a24d-9f33-47fd-96c0-116ee790d6c9,2026-06-01T16:35:48+00:00,order_lookup,1.3.0,read,read,low,False,n/a,354,success,,0.0013
06fa3876-de64-434f-a232-d596919601e4,2026-06-01T04:41:14+00:00,address_update,1.0.2,write,write,high,True,approved,258,success,,0.03006
4357a6e0-9718-4470-bdfa-bc6872c9c44c,2026-06-01T09:22:45+00:00,address_update,1.0.2,write,write,high,True,approved,319,success,,0.03162
038dcc5b-3d36-436d-9e64-e1d14d94f489,2026-06-01T09:36:32+00:00,loyalty_credit,1.4.0,write,write,medium,True,approved,138,success,,0.01349
038dcc5b-3d36-436d-9e64-e1d14d94f489,2026-06-01T09:36:32+00:00,loyalty_credit,1.4.0,write,write,medium,True,approved,344,success,,0.0105
8a73ecdd-9fd9-462c-94fa-159419a7486b,2026-06-01T20:10:46+00:00,order_lookup,1.3.0,read,read,low,False,n/a,439,success,,0.00158
8a73ecdd-9fd9-462c-94fa-159419a7486b,2026-06-01T20:10:46+00:00,order_lookup,1.3.0,read,read,low,False,n/a,354,success,,0.00145
8a73ecdd-9fd9-462c-94fa-159419a7486b,2026-06-01T20:10:46+00:00,loyalty_credit,1.4.0,write,write,medium,True,approved,401,success,,0.01292
d113650a-461c-41f5-a638-d2af795d2129,2026-06-01T10:54:57+00:00,shipping_status,1.1.0,read,read,low,False,n/a,395,success,,0.00153
0820ae1b-0f2f-45fa-932c-fa23e9d5e29f,2026-06-01T06:27:30+00:00,refund_issue,2.0.0,write,write,high,True,approved,330,success,,0.04016
0820ae1b-0f2f-45fa-932c-fa23e9d5e29f,2026-06-01T06:27:30+00:00,address_update,1.0.2,write,write,high,True,approved,305,success,,0.03251
d014b730-662a-49f7-905d-f56bd6b9c0ab,2026-06-01T17:32:16+00:00,order_lookup,1.3.0,read,read,low,False,n/a,200,success,,0.00151
d014b730-662a-49f7-905d-f56bd6b9c0ab,2026-06-01T17:32:16+00:00,order_lookup,1.3.0,read,read,low,False,n/a,428,success,,0.00154
8e5b261b-c3a5-4cc7-8f8b-4f088ab48f5a,2026-06-01T02:50:27+00:00,loyalty_credit,1.4.0,write,write,medium,True,approved,276,success,,0.01238
a3f2e000-5aa0-451c-806b-0d4ea404912f,2026-06-01T21:26:35+00:00,order_lookup,1.3.0,read,read,low,False,n/a,496,success,,0.00142
a3f2e000-5aa0-451c-806b-0d4ea404912f,2026-06-01T21:26:35+00:00,shipping_status,1.1.0,read,read,low,False,n/a,346,success,,0.00156
a3f2e000-5aa0-451c-806b-0d4ea404912f,2026-06-01T21:26:35+00:00,order_lookup,1.3.0,read,read,low,False,n/a,421,success,,0.0017
c1612938-98fb-4d9e-9538-6b1026dc5395,2026-06-01T10:33:46+00:00,loyalty_credit,1.4.0,write,write,medium,True,approved,495,success,,0.0102
c1612938-98fb-4d9e-9538-6b1026dc5395,2026-06-01T10:33:46+00:00,refund_issue,2.0.0,write,write,high,True,approved,150,success,,0.03704
af2f5e66-ccd0-48e7-bcc2-df7b56bf25f9,2026-06-01T14:13:11+00:00,order_lookup,1.3.0,read,read,low,False,n/a,369,success,,0.00168
af2f5e66-ccd0-48e7-bcc2-df7b56bf25f9,2026-06-01T14:13:11+00:00,refund_issue,2.0.0,write,write,high,True,approved,386,error,downstream_5xx,0.0
af2f5e66-ccd0-48e7-bcc2-df7b56bf25f9,2026-06-01T14:13:11+00:00,address_update,1.0.2,write,write,high,True,approved,490,error,timeout,0.0
6006a819-ca54-4079-b06d-85e19db150a5,2026-06-01T21:09:00+00:00,address_update,1.0.2,write,write,high,True,approved,203,success,,0.03378
947184ca-767c-4c8c-83da-959bf24cd2fd,2026-06-01T07:54:27+00:00,refund_issue,2.0.0,write,write,high,True,approved,326,success,,0.03708
947184ca-767c-4c8c-83da-959bf24cd2fd,2026-06-01T07:54:27+00:00,order_lookup,1.3.0,read,read,low,False,n/a,250,success,,0.00135
86438ecf-ad0e-4feb-844a-f1eb72a93acf,2026-06-01T03:15:42+00:00,loyalty_credit,1.4.0,write,write,medium,True,approved,539,success,,0.01093
c9c2f47c-005e-4a89-91f5-5b726f7f89b5,2026-06-01T03:56:58+00:00,refund_issue,2.0.0,write,write,high,True,approved,491,error,downstream_5xx,0.0
c9c2f47c-005e-4a89-91f5-5b726f7f89b5,2026-06-01T03:56:58+00:00,shipping_status,1.1.0,read,read,low,False,n/a,277,success,,0.00168
86e36766-bf09-4596-b30d-82783c5e790e,2026-06-01T21:32:56+00:00,refund_issue,2.0.0,write,write,high,True,approved,485,success,,0.03215
86e36766-bf09-4596-b30d-82783c5e790e,2026-06-01T21:32:56+00:00,loyalty_credit,1.4.0,write,write,medium,True,approved,214,success,,0.01167
86e36766-bf09-4596-b30d-82783c5e790e,2026-06-01T21:32:56+00:00,order_lookup,1.3.0,read,read,low,False,n/a,526,success,,0.00165
