workflow_id,ml_app,service,env,version,use_case,business_unit,tenant,channel,risk_tier,user_hash,session_id,start_ts,outcome,total_latency_ms,total_cost_usd,llm_cost_usd,tool_cost_usd,retrieval_cost_usd,llm_call_count,tool_call_count,step_count,loop_count
104d4d0e-8248-40a6-a71e-5a3e01210a29,retail-support-agent,support-agent-orchestrator,production,2.4.1,order_support_returns_assistant,Retail Customer Care,brand_a,web_chat,medium,99184f4b907e,67b7ef9c-9f51-4ca9-b39c-33b9183f155f,2026-06-01T20:21:23+00:00,resolved,1773,0.00268,0.00036,0.00169,0.00063,1,1,6,0
0cd2ccbb-f6ce-48bb-9118-b0e471dfdf65,retail-support-agent,support-agent-orchestrator,production,2.4.1,order_support_returns_assistant,Retail Customer Care,brand_b,web_chat,medium,2faa736fcaed,cb5c571c-9c82-40bf-afaf-eb636abe7a09,2026-06-01T09:28:01+00:00,escalated_human,1287,0.03841,0.00019,0.03759,0.00063,1,1,6,0
ebb286df-b515-4701-94e2-312376e7a537,retail-support-agent,support-agent-orchestrator,production,2.4.1,order_support_returns_assistant,Retail Customer Care,brand_b,web_chat,medium,14a82cfd8e4c,5111e6b2-77b2-4987-a6db-1ab044964b74,2026-06-01T23:22:40+00:00,resolved,1324,0.03651,0.00029,0.03573,0.00049,1,1,6,0
add4f716-a365-42d6-87d3-792f92da4ce8,retail-support-agent,support-agent-orchestrator,production,2.4.1,order_support_returns_assistant,Retail Customer Care,brand_b,web_chat,medium,dabee1d7f88f,22a3abb1-b403-4803-a92b-6b787bd736b8,2026-06-01T12:13:04+00:00,resolved,2592,0.04187,0.00025,0.04081,0.00081,1,3,8,0
13a1c09d-aca5-43ff-87bf-df3648978d5a,retail-support-agent,support-agent-orchestrator,production,2.4.1,order_support_returns_assistant,Retail Customer Care,brand_c,mobile_app,medium,37993d7c1818,962ad6aa-bf85-4b28-a7bb-2c676343178e,2026-06-01T13:30:44+00:00,resolved,1725,0.03807,0.00032,0.03717,0.00058,1,2,7,0
7809bee2-acf4-42ef-a37d-39c134db47d7,retail-support-agent,support-agent-orchestrator,production,2.4.1,order_support_returns_assistant,Retail Customer Care,brand_b,web_chat,medium,e745d748db45,ba22b165-17c1-45a3-bca7-a8eee76c42f5,2026-06-01T13:51:59+00:00,resolved,1435,0.0333,0.00023,0.03267,0.0004,1,1,6,0
7c1899b4-3e3a-42a9-bd84-f04999028d3f,retail-support-agent,support-agent-orchestrator,production,2.4.1,order_support_returns_assistant,Retail Customer Care,brand_b,ivr_handoff,medium,3988e5b8c985,238d55a9-52c9-4c7b-a16b-99eb8dd5e11d,2026-06-01T09:54:32+00:00,resolved,1815,0.03145,0.00039,0.03044,0.00062,1,1,6,0
9ebdcb6b-9ba6-43b7-8b36-cc81d32117b8,retail-support-agent,support-agent-orchestrator,production,2.4.1,order_support_returns_assistant,Retail Customer Care,brand_b,web_chat,medium,58d85a55b865,37c5dda3-d5bc-48af-bf2b-eeaf3641283c,2026-06-01T15:54:31+00:00,resolved,1065,0.01373,0.00033,0.01253,0.00087,1,1,6,0
96a50aaf-2891-4bee-ba73-9bded6609bbd,retail-support-agent,support-agent-orchestrator,production,2.4.1,order_support_returns_assistant,Retail Customer Care,brand_a,mobile_app,medium,a3889f3e5311,6c286efe-4b45-4a30-8340-d93761e11ce3,2026-06-01T18:23:06+00:00,escalated_human,1654,0.00402,0.00017,0.00308,0.00077,1,2,7,0
57cdf486-f419-45fd-bc5b-a86eb11c3f6d,retail-support-agent,support-agent-orchestrator,production,2.4.1,order_support_returns_assistant,Retail Customer Care,brand_c,mobile_app,medium,2debd9b13ba7,603fd87d-61ce-4e1e-9116-9fd0f5044977,2026-06-01T16:39:13+00:00,resolved,2134,0.03782,0.0002,0.03697,0.00065,1,2,7,0
